Compound,acceptorcount,accsitecount,Aliphatic ring count,Aromatic atom count,Aromatic ring count,ASA,ASA+,ASA-,ASA_H,ASA_P,ASA.1,ASA+.1,ASA-.1,ASA_H.1,ASA_P.1,ASA.2,ASA+.2,ASA-.2,ASA_H.2,ASA_P.2,ASA.3,ASA+.3,ASA-.3,ASA_H.3,ASA_P.3,ASA.4,ASA+.4,ASA-.4,ASA_H.4,ASA_P.4,Atom count (C),Atom count (N),molecular,Balaban index,Bond count,Carboaliphatic ring count,Carboaromatic ring count,Carbo ring count,Chain atom count,Chiral center count,Cyclomatic number,donorcount,donsitecount,Heteroaliphatic ring count,Hyper wiener index,Largest ring size,Length perpendicular to the max area,Length perpendicular to the min area,Maximal projection area,Maximal projection radius,Length perpendicular to the max area.1,Minimal projection area,Minimal projection radius,Length perpendicular to the min area.1,molecular.1,Polar surface area,Refractivity,Ring atom count,Rotatable bond count,Smallest ring size,Van der Waals surface area (3D),van der Waals volume,Wiener index,Wiener polarity,Molecular weight,Exact molecular weight,Aliphatic atom count,Heteroaromatic ring count,acceptorcount.1,acceptorcount.2,donorcount.1,donorcount.2,ASA+.5,ASA+.6,Van der Waals surface area (3D).1,Van der Waals surface area (3D).2,ASA+.7,ASA+.8,Van der Waals surface area (3D).3,Van der Waals surface area (3D).4,Polar surface area.1,Polar surface area.2,Polar surface area.3,Polar surface area.4
CN(C)CC(C)(C)CN,2,2,0,0,0,326.31,248.77,77.54,315.36,10.95,326.31,248.77,77.54,315.36,10.95,326.31,248.77,77.54,315.36,10.95,326.31,248.77,77.54,315.36,10.95,326.31,248.77,77.54,315.36,10.95,7,2,16.45,3.58,26,0,0,0,9,0,0,1,2,0,189,0,6.25,9.64,49.51,4.88,6.25,31.65,3.79,9.64,16.71,29.26,41.56,0,3,0,288.57,155.78,92,8,130.235,130.146998588,9,0,2,0,1,2,248.77,240.06,288.57,297.47,248.77,240.06,288.57,297.47,29.26,32.08,29.26,32.08
Nc1ccncc1,2,2,0,6,1,244.18,123.31,120.87,206.1,38.09,244.18,123.31,120.87,206.1,38.09,244.18,123.31,120.87,206.1,38.09,244.18,123.31,120.87,206.1,38.09,244.18,123.31,120.87,206.1,38.09,5,2,9.62,1.82,13,0,0,0,1,0,1,1,2,0,71,6,3.54,7.34,37.05,3.87,3.54,18.85,3.31,7.34,10.56,38.91,28.6,6,0,6,143.15,88.79,42,5,94.117,94.053098201,1,1,2,1,1,2,123.31,203.32,143.15,147.74,123.31,203.32,143.15,147.74,38.91,40.16,38.91,40.16
CCN1CCNCC1,2,2,1,0,0,301.26,256.24,45.02,287.72,13.54,301.26,256.24,45.02,287.72,13.54,301.26,256.24,45.02,287.72,13.54,301.26,256.24,45.02,287.72,13.54,301.26,256.24,45.02,287.72,13.54,6,2,13.96,2.13,22,0,0,0,2,0,1,1,1,1,122,6,5.45,9.47,45.3,4.82,5.45,27.67,3.57,9.47,14.12,15.27,35.49,6,1,6,231.12,127.56,64,7,114.19200000000001,114.115698459,8,0,2,1,1,1,256.24,251.4,231.12,233.8,256.24,251.4,231.12,233.8,15.27,19.85,15.27,19.85
NCCCCNCCCN,3,3,0,0,0,402.09,294.03,108.06,370.08,32.01,402.09,294.03,108.06,370.08,32.01,402.09,294.03,108.06,370.08,32.01,402.09,294.03,108.06,370.08,32.01,402.09,294.03,108.06,370.08,32.01,7,3,18.8,2.65,28,0,0,0,10,0,0,3,5,0,495,0,5.34,15.11,60.04,7.65,5.34,23.8,3.23,15.11,18.22,64.07,44.97,0,7,0,295.73,166.44,165,7,145.25,145.157897624,10,0,3,0,3,3,294.03,326.81,295.73,307.72,294.03,326.81,295.73,307.72,64.07,71.89,64.07,71.89
CN1CCC(CCCC2CCN(C)CC2)CC1,2,2,2,0,0,503.89,388.18,115.71,493.54,10.35,503.89,388.18,115.71,493.54,10.35,503.89,388.18,115.71,493.54,10.35,503.89,388.18,115.71,493.54,10.35,503.89,388.18,115.71,493.54,10.35,15,2,31.42,1.54,48,0,0,0,5,0,2,0,0,2,2310,6,6.89,17.12,84.19,8.63,6.89,37.54,3.91,17.12,30.0,6.48,76.16,12,4,6,477.88,270.24,628,20,238.419,238.240898974,17,0,2,0,0,2,388.18,385.54,477.88,486.49,388.18,385.54,477.88,486.49,6.48,8.88,6.48,8.88
CN(C)CCCCCCN(C)C,2,2,0,0,0,503.86,364.04,139.82,490.35,13.51,503.86,364.04,139.82,490.35,13.51,503.86,364.04,139.82,490.35,13.51,503.86,364.04,139.82,490.35,13.51,503.86,364.04,139.82,490.35,13.51,10,2,23.24,2.91,35,0,0,0,12,0,0,0,0,0,876,0,5.3,15.1,73.87,7.82,5.3,30.42,4.08,15.1,22.25,6.48,56.72,0,7,0,387.16,207.74,268,9,172.31599999999997,172.193948781,12,0,2,0,0,2,364.04,363.83,387.16,395.71,364.04,363.83,387.16,395.71,6.48,8.88,6.48,8.88
CC(C)(CN)CN,2,2,0,0,0,256.91,193.47,63.44,243.39,13.52,256.91,193.47,63.44,243.39,13.52,256.91,193.47,63.44,243.39,13.52,256.91,193.47,63.44,243.39,13.52,256.91,193.47,63.44,243.39,13.52,5,2,12.59,3.36,20,0,0,0,7,0,0,2,4,0,76,0,6.35,8.14,38.59,4.08,6.35,29.31,3.5,8.14,13.01,52.04,31.49,0,2,0,216.26,120.49,44,6,102.181,102.115698459,7,0,2,0,2,2,193.47,195.66,216.26,225.81,193.47,195.66,216.26,225.81,52.04,55.28,52.04,55.28
NC1CCNC1,2,2,1,0,0,222.24,177.69,44.56,203.37,18.87,222.24,177.69,44.56,203.37,18.87,222.24,177.69,44.56,203.37,18.87,222.24,177.69,44.56,203.37,18.87,222.24,177.69,44.56,203.37,18.87,4,2,9.94,2.18,16,0,0,0,1,1,1,2,3,1,39,5,5.36,7.45,31.79,3.73,5.36,23.8,3.08,7.45,10.43,38.05,25.21,5,0,5,159.14,91.93,26,2,86.13799999999999,86.08439833,6,0,2,0,2,2,177.69,194.06,159.14,167.43,177.69,194.06,159.14,167.43,38.05,44.25,38.05,44.25
C(CC1CCNCC1)CC1CCNCC1,2,2,2,0,0,424.1,328.19,95.91,407.44,16.66,424.1,328.19,95.91,407.44,16.66,424.1,328.19,95.91,407.44,16.66,424.1,328.19,95.91,407.44,16.66,424.1,328.19,95.91,407.44,16.66,13,2,26.84,1.43,42,0,0,0,3,0,2,2,2,2,1442,6,7.2,14.22,70.75,7.25,7.2,36.08,3.9,14.22,26.3,24.06,65.57,12,4,6,408.67,234.9,436,16,210.365,210.209598845,15,0,2,0,2,2,328.19,327.15,408.67,414.19,328.19,327.15,408.67,414.19,24.06,33.22,24.06,33.22
CNCCN,2,2,0,0,0,270.8,217.23,53.58,246.59,24.22,270.8,217.23,53.58,246.59,24.22,270.8,217.23,53.58,246.59,24.22,270.8,217.23,53.58,246.59,24.22,270.8,217.23,53.58,246.59,24.22,3,2,9.09,2.19,14,0,0,0,5,0,0,2,3,0,35,0,5.06,9.0,32.49,4.49,5.06,17.62,2.6,9.0,9.32,38.05,22.64,0,2,0,158.4,86.53,20,2,74.127,74.08439833,5,0,2,0,2,2,217.23,219.74,158.4,166.15,217.23,219.74,158.4,166.15,38.05,44.25,38.05,44.25
NCCCNCCCCNCCCN,4,4,0,0,0,517.96,380.8,137.16,478.73,39.22,517.96,380.8,137.16,478.73,39.22,517.96,380.8,137.16,478.73,39.22,517.96,380.8,137.16,478.73,39.22,517.96,380.8,137.16,478.73,39.22,10,4,26.39,2.78,39,0,0,0,14,0,0,4,6,0,1820,0,6.3,18.26,81.12,9.15,6.3,35.54,4.0,18.26,25.28,76.1,62.56,0,11,0,408.16,229.87,455,11,202.34599999999998,202.21574685299998,14,0,4,0,4,4,380.8,424.07,408.16,423.12,380.8,424.07,408.16,423.12,76.1,88.5,76.1,88.5
CCCCCCC(C)N,1,1,0,0,0,391.41,294.19,97.21,383.91,7.49,391.41,294.19,97.21,383.91,7.49,391.41,294.19,97.21,383.91,7.49,391.41,294.19,97.21,383.91,7.49,391.41,294.19,97.21,383.91,7.49,8,1,17.7,2.75,27,0,0,0,9,1,0,1,2,0,297,0,5.85,13.05,57.14,6.6,5.85,28.05,3.4,13.05,17.04,26.02,42.01,0,5,0,289.05,159.07,114,6,129.247,129.15174961600002,9,0,1,0,1,1,294.19,291.37,289.05,294.19,294.19,291.37,289.05,294.19,26.02,27.64,26.02,27.64
